GRAND PRIX,WINNER,TEAM,LAPS,TIME,SEASON
Bahrain,Max Verstappen,Red Bull Racing Honda RBPT,57,1:31:44.742,2024
Saudi Arabia,Max Verstappen,Red Bull Racing Honda RBPT,50,1:20:43.273,2024
Australia,Carlos Sainz,Ferrari,58,1:20:26.843,2024
Japan,Max Verstappen,Red Bull Racing Honda RBPT,53,1:54:23.566,2024
China,Max Verstappen,Red Bull Racing Honda RBPT,56,1:40:52.554,2024
Miami,Lando Norris,McLaren Mercedes,57,1:30:49.876,2024
Emilia-Romagna,Max Verstappen,Red Bull Racing Honda RBPT,63,1:25:25.252,2024
Monaco,Charles Leclerc,Ferrari,78,2:23:15.554,2024
Canada,Max Verstappen,Red Bull Racing Honda RBPT,70,1:45:47.927,2024
Spain,Max Verstappen,Red Bull Racing Honda RBPT,66,1:28:20.227,2024
Austria,George Russell,Mercedes,71,1:24:22.798,2024
Great Britain,Lewis Hamilton,Mercedes,52,1:22:27.059,2024
Hungary,Oscar Piastri,McLaren Mercedes,70,1:38:01.989,2024
Belgium,Lewis Hamilton,Mercedes,44,1:19:57.566,2024
Netherlands,Lando Norris,McLaren Mercedes,72,1:30:45.519,2024
Italy,Charles Leclerc,Ferrari,53,1:14:40.727,2024
Azerbaijan,Oscar Piastri,McLaren Mercedes,51,1:32:58.007,2024
Singapore,Lando Norris,McLaren Mercedes,62,1:40:52.571,2024
United States,Charles Leclerc,Ferrari,56,1:35:09.639,2024
Mexico,Carlos Sainz,Ferrari,71,1:40:55.800,2024
Brazil,Max Verstappen,Red Bull Racing Honda RBPT,69,2:06:54.430,2024
Las Vegas,George Russell,Mercedes,50,1:22:05.969,2024
Qatar,Max Verstappen,Red Bull Racing Honda RBPT,57,1:31:05.323,2024
Abu Dhabi,Lando Norris,McLaren Mercedes,58,1:26:33.291,2024
Bahrain,Max Verstappen,Red Bull Racing Honda RBPT,57,1:33:56.736,2023
Saudi Arabia,Sergio Perez,Red Bull Racing Honda RBPT,50,1:21:14.894,2023
Australia,Max Verstappen,Red Bull Racing Honda RBPT,58,2:32:38.371,2023
Azerbaijan,Sergio Perez,Red Bull Racing Honda RBPT,51,1:32:42.436,2023
Miami,Max Verstappen,Red Bull Racing Honda RBPT,57,1:27:38.241,2023
Monaco,Max Verstappen,Red Bull Racing Honda RBPT,78,1:48:51.980,2023
Spain,Max Verstappen,Red Bull Racing Honda RBPT,66,1:27:57.940,2023
Canada,Max Verstappen,Red Bull Racing Honda RBPT,70,1:33:58.348,2023
Austria,Max Verstappen,Red Bull Racing Honda RBPT,71,1:25:33.607,2023
Great Britain,Max Verstappen,Red Bull Racing Honda RBPT,52,1:25:16.938,2023
Hungary,Max Verstappen,Red Bull Racing Honda RBPT,70,1:38:08.634,2023
Belgium,Max Verstappen,Red Bull Racing Honda RBPT,44,1:22:30.450,2023
Netherlands,Max Verstappen,Red Bull Racing Honda RBPT,72,2:24:04.411,2023
Italy,Max Verstappen,Red Bull Racing Honda RBPT,51,1:13:41.143,2023
Singapore,Carlos Sainz,Ferrari,62,1:46:37.418,2023
Japan,Max Verstappen,Red Bull Racing Honda RBPT,53,1:30:58.421,2023
Qatar,Max Verstappen,Red Bull Racing Honda RBPT,57,1:27:39.168,2023
United States,Max Verstappen,Red Bull Racing Honda RBPT,56,1:35:21.362,2023
Mexico,Max Verstappen,Red Bull Racing Honda RBPT,71,2:02:30.814,2023
Brazil,Max Verstappen,Red Bull Racing Honda RBPT,71,1:56:48.894,2023
Las Vegas,Max Verstappen,Red Bull Racing Honda RBPT,50,1:29:08.289,2023
Abu Dhabi,Max Verstappen,Red Bull Racing Honda RBPT,58,1:27:02.624,2023
